,Username,Time,Message,Reply,Like,Dislike
0,Yisa,1654115878050.0,"27200 is range bottom cde&#39;s, bear market rallies can be brutal<br/><br/>https://www.reuters.com/business/aerospace-defense/exclusive-us-plans-sell-armed-drones-ukraine-coming-days-sources-2022-06-01/ AW rekt<br/><br/>https://i.ytimg.com/vi/drUcrbcrJSw/hqdefault.jpg",,0,0
1,angelkov,1654103296207.0,"Pump from here or if not hold, out to recharge later.",,0,0
2,bb1010,1654102777453.0,&quot;The advocates for CBDCs are all out of touch politicians and globalists who are also absolutely abysmal salesmen. They can’t help but come off as evil tech illiterates who want control.<br/><br/>Bitcoin is being built and championed by young optimists. Bullish.&quot;<br/><br/>https://twitter.com/MartyBent/status/1530643628795781120?s=20&amp;t=0n3751f3F-rjAmB17TVJnA,,1,0
3,bb1010,1654102578677.0,"The Secretary of the Treasury, and former Fed Chairman... is going to get live ...... on  camera .....  and say &quot;there have been shocks to the economy that have boosted energy and food prices and supply bottlenecks that have affected our economy badly.. that at the time I didn&#39;t fully understand.&quot;  <br/>????<br/><br/>https://twitter.com/thehill/status/1531800193674387456?s=20&amp;t=zAU3QiPWl8lkKHAO8IgY2Q<br/><br/>No sh** Sherlock! I don&#39;t think this high level government official is so stupid, they know exactly what they are doing.",,0,0
4,MajorCoign,1654102247787.0,Jamie dimon is worried:<br/><br/>https://www.cnbc.com/2022/06/01/jamie-dimon-says-brace-yourself-for-an-economic-hurricane-caused-by-the-fed-and-ukraine-war.html<br/><br/>No mention of crypto.,,1,0
5,Osjogo,1654098049173.0,"This is what they did in the previous systemic crisis. Remember the one paid off rescuing the perpetrators.<br/><br/>https://www.cnbc.com/2010/04/23/sec-staffers-watched-porn-as-system-crashed.html<br/><br/>We should now ask ourselves how they occupy their time now, while everything is unleashed. Bitcoin spot ETFs? We&#39;ll study it later, we&#39;re very busy...",,2,0
6,bb1010,1654089067330.0,"Aaaaaaaaaaaaaaaaaaaaaand ...................... voila! Mars in Aries conjunct Jupiter .............<br/><br/>Erdogan announced the beginning of a military special operation on the territory of the neighboring state — Syria. <br/>According to the Turkish president, a security zone will be formed 30 km deep into Syria from the Turkish border. <br/>Ankara considers the forces present there to be terroris<br/><br/>https://www.zerohedge.com/geopolitical/erdogan-announces-new-military-operation-northern-syria-against-kurds",,0,0
7,bb1010,1654085886823.0,"https://i.postimg.cc/0Qk2ZsGx/360-F-266889930-kdeqwdg-JNrklqsi-Tp-Sl9l-Cg-L2-Mvp-IQlt.jpg<br/><br/>June is spotted with a few bold alignments, including the Super Full Moon, and the Solstice, but all things considered, it is a quieter month that should give us time to rest, recharge, and have some fun!<br/>After two months of heavy soul work, we can now focus on finding the lightness (and our footing! ), going on adventures, and strengthening our bonds with those we love.<br/>Jupiter entering Aries is much better for Bitcoin then Jupiter in Pisces. Having Mars by its side, can be very volatile. <br/>On June 1st, Mars will be squaring Bitcoin’s Mars exactly, which is bearish after a local top during the new Moon on the 30th of May.<br/>On the 2nd of June, Venus will trine Bitcoin’s Mars, on the 8th, Venus will trine Bitcoin’s Sun; and on the 10th, Venus will trine Bitcoin’s Uranus. All those are supportive aspects for Bitcoin.<br/>On the 12th, Mars will square Bitcoin’s Sun. This might be a challenge.<br/>Venus – value - squaring Uranus, which means instability in the markets. <br/>On the 15th, Venus will be trineing Bitcoin’s retrograde Saturn. Saturn means support or support levels. Let’s hope this will give us some support during the Full Moon in Saggitarius on the 14-15 of June. <br/>On the 16th, Venus will square Bitcoin’s Neptune – Euphoria in the markets !!! <br/>The markets can be very shaky between June 18 and 19.<br/>On the 21st, the Sun will trine Bitcoin’s Venus, again a positive aspect.<br/>On the 22nd, the Sun will trine Bitcoin’s Jupiter and be opposite Bitcoin’s Pluto. Well, I see this as a lot of green and then... …. Ups! ….. wtf just happened? <br/>On the 28th, the New Moon in Cancer can be a very challenging local top, because, with Mars squaring Bitcoin’s Jupiter, the market is very volatile. <br/><br/>https://i.postimg.cc/j510N0ZM/85bff4b2-14f0-44a6-8129-bdef879a512d.jpg<br/><br/>General reading in the comments section bellow<br/><br/>Made with &#129505;<br/>bb1010",,0,0
8,kinsley12,1654080968650.0,"Short-term forecast for BTCUSD, XRPUSD and ETHUSD 01.06.2022<br/>https://www.litefinance.com/blog/analysts-opinions/short-term-forecast-for-btcusd-xrpusd-and-ethusd-01062022/?uid=585411880&amp;cid=12056&amp;utm_source=cryptocompare&amp;utm_medium=article&amp;utm_campaign=cryptocompare",,0,0
9,hensy,1654073178547.0,"I know this is a Bitcoin forum but there&#39;s currently a decent airdrop on the Ethereum Layer 2 Optimism. If you&#39;ve used Optimism at least once, the airdrop is worth a few hundred $. If you&#39;ve used it 4 times or more, the airdrop is worth a few thousand $. If you&#39;ve used it a lot, the airdrop is worth about $10k. Not bad.",,1,0
